1,Stephen Curry,"PG,SG",GSW,73,34.0,14.25,$74,$64.4,$64.8
2,Nikola Jokic,"PF,C",DEN,73,34.1,13.39,$70,$70.8,$73.1
3,James Harden,"PG,SG",BRO,75,34.1,12.66,$66,$62.7,$67.2
4,Kevin Durant,"SF,PF",BRO,68,34.1,11.64,$60,$61.1,$60.7
5,Jimmy Butler,"SF,PF",MIA,72,34.1,9.51,$49,$38.8,$30.9
6,Karl-Anthony Towns,C,MIN,72,34.9,9.50,$49,$57.1,$60.5
7,Anthony Davis,"PF,C",LAL,69,32.6,9.05,$47,$49.3,$42.2
8,Paul George,"SF,PF",LAC,74,34.0,8.87,$46,$47.3,$52.8
9,Joel Embiid,"PF,C",PHI,55,30.4,8.03,$41,$54.3,$50.1
10,Giannis Antetokounmpo,"PF,C",MIL,74,33.0,7.84,$40,$66.1,$74.1
11,LaMelo Ball,"PG,SG",CHA,73,32.8,7.58,$39,$32.7,$31.7
12,Chris Paul,PG,PHX,72,31.4,7.31,$38,$26.9,$21.2
13,DeMar DeRozan,"SF,PF",CHI,76,33.2,7.15,$37,$14.7,$13.7
14,LeBron James,"PG,SG,SF",LAL,62,33.4,7.04,$36,$36.5,$49.5
15,Damian Lillard,PG,POR,71,34.8,6.63,$34,$58.7,$58.8
16,Kyrie Irving,"PG,SG",BRO,27,33.1,6.58,$34,$33.0,$11.9
17,Trae Young,PG,ATL,78,33.9,6.36,$33,$47.1,$45.9
18,Bradley Beal,"SG,SF",WAS,68,34.6,6.08,$31,$44.8,$56.0
19,Julius Randle,"PF,C",NYK,77,36.4,5.63,$29,$32.1,$33.7
20,Kristaps Porzingis,"PF,C",DAL,69,29.5,5.56,$29,$21.4,$9.6
21,Jayson Tatum,"SF,PF",BOS,76,37.1,5.45,$28,$52.0,$55.1
22,Fred VanVleet,"PG,SG",TOR,70,36.8,5.30,$27,$33.2,$36.1
23,Myles Turner,"PF,C",IND,72,28.6,5.29,$27,$23.0,$6.7
24,Tobias Harris,"SF,PF",PHI,75,32.5,5.28,$27,$22.0,$18.0
25,Jonas Valanciunas,C,NOP,73,33.4,5.25,$27,$17.3,$5.2
26,Dejounte Murray,"PG,SG",SAS,74,33.4,5.24,$27,$17.7,$22.8
27,Rudy Gobert,C,UTA,76,30.4,5.00,$26,$35.1,$33.3
28,John Collins,"PF,C",ATL,75,30.2,4.90,$25,$21.3,$8.8
29,Richaun Holmes,"PF,C",SAC,72,30.2,4.86,$25,$20.5,$5.1
30,Luka Doncic,"PG,SG",DAL,75,34.1,4.84,$25,$68.1,$73.4
31,Zach LaVine,"SG,SF",CHI,72,34.0,4.77,$25,$36.0,$22.4
32,Jaren Jackson Jr.,"PF,C",MEM,70,30.4,4.67,$24,$19.6,$6.4
33,Jaylen Brown,"SG,SF",BOS,70,34.1,4.56,$24,$24.6,$19.6
34,Miles Bridges,"SF,PF",CHA,77,34.1,4.46,$23,$3.6,$1.8
35,Donovan Mitchell,"PG,SG",UTA,72,33.4,4.40,$23,$32.7,$39.8
36,Khris Middleton,"SF,PF",MIL,70,33.1,4.39,$23,$26.1,$20.7
37,Bam Adebayo,"PF,C",MIA,76,32.6,4.39,$23,$36.7,$29.2
38,CJ McCollum,"PG,SG",POR,72,33.5,4.24,$22,$16.8,$12.8
39,Jrue Holiday,"PG,SG",MIL,70,31.5,4.07,$21,$22.5,$22.2
40,Jakob Poeltl,C,SAS,77,31.3,4.06,$21,$7.5,$6.3
41,Deandre Ayton,C,PHX,76,31.8,4.06,$21,$29.4,$21.8
42,Pascal Siakam,"PF,C",TOR,59,32.5,4.04,$20,$11.9,$10.5
43,Jarrett Allen,C,CLE,74,31.4,3.94,$20,$12.3,$6.8
44,Domantas Sabonis,"PF,C",IND,72,33.3,3.93,$20,$39.3,$40.2
45,Mike Conley,PG,UTA,68,29.5,3.81,$19,$5.1,$2.7
46,Al Horford,"PF,C",BOS,68,28.8,3.77,$19,$2.5,$0.4
47,Nikola Vucevic,C,CHI,69,32.8,3.74,$19,$41.5,$45.9
48,Devin Booker,"SG,SF",PHX,76,33.6,3.72,$19,$31.3,$26.5
49,Mikal Bridges,"SG,SF",PHX,78,32.8,3.69,$19,$13.3,$3.3
50,Evan Mobley,"PF,C",CLE,60,31.5,3.66,$19,$5.3,$1.0
51,OG Anunoby,"SF,PF",TOR,68,35.2,3.59,$18,$19.6,$7.5
52,Robert Williams III,C,BOS,68,27.5,3.54,$18,$13.3,$7.0
53,Will Barton,"SG,SF",DEN,70,32.5,3.52,$18,$1.0,$0.1
54,Tyrese Haliburton,"PG,SG",SAC,72,32.1,3.52,$18,$14.9,$6.7
55,Harrison Barnes,"SF,PF",SAC,72,35.1,3.44,$17,$4.7,$1.6
56,Anthony Edwards,"SG,SF",MIN,77,35.8,3.39,$17,$19.5,$11.6
57,Malcolm Brogdon,"PG,SG",IND,70,34.1,3.37,$17,$13.8,$7.0
58,Tyrese Maxey,"PG,SG",PHI,72,34.8,3.37,$17,$1.6,$0.2
59,Ja Morant,PG,MEM,73,34.6,3.19,$16,$21.9,$19.2
60,Shai Gilgeous-Alexander,"PG,SG",OKL,70,33.1,3.13,$16,$30.5,$28.3
61,Gordon Hayward,"SG,SF",CHA,68,33.1,2.99,$15,$10.2,$3.3
62,Cole Anthony,PG,ORL,72,32.9,2.93,$15,$1.0,$0.2
63,Jusuf Nurkic,C,POR,69,27.4,2.92,$15,$14.8,$10.2
64,Lonzo Ball,"PG,SG",CHI,70,33.1,2.91,$15,$17.8,$15.5
65,Cade Cunningham,"PG,SG",DET,70,30.7,2.81,$14,$9.2,$6.2
66,Mo Bamba,C,ORL,68,28.5,2.60,$13,$2.5,$0.5
67,De'Aaron Fox,PG,SAC,73,34.7,2.47,$13,$24.1,$40.9
68,Draymond Green,"PF,C",GSW,72,32.7,2.45,$12,$15.2,$10.0
69,Kawhi Leonard,"SG,SF",LAC,10,25.1,2.37,$12,$7.6,$2.1
70,Darius Garland,PG,CLE,70,33.7,2.36,$12,$9.4,$3.8
71,Russell Westbrook,PG,LAL,76,34.1,2.33,$12,$34.5,$26.2
72,Bobby Portis,"PF,C",MIL,75,28.2,2.26,$12,$3.1,$0.5
73,Zion Williamson,PF,NOP,45,28.5,2.25,$12,$30.4,$43.2
74,Derrick White,"PG,SG",SAS,69,33.0,2.21,$11,$9.3,$4.6
75,D'Angelo Russell,"PG,SG",MIN,70,30.2,2.15,$11,$8.7,$6.4
76,Caris LeVert,"SG,SF",IND,68,30.2,2.09,$11,$6.6,$10.3
77,Clint Capela,C,ATL,75,27.5,2.03,$10,$22.8,$20.4
78,Montrezl Harrell,"PF,C",WAS,68,28.1,1.99,$10,$1.8,$8.9
79,Ricky Rubio,PG,CLE,70,31.2,1.91,$9,$1.5,$0.4
80,Terry Rozier,"PG,SG",CHA,75,34.1,1.89,$9,$9.9,$8.3
81,Norman Powell,"SG,SF",POR,70,28.9,1.85,$9,$4.7,$2.4
82,Jamal Murray,"PG,SG",DEN,19,28.1,1.73,$8,$8.9,$0.6
83,Tyler Herro,PG,MIA,70,30.0,1.70,$8,$2.6,$1.7
84,Kyle Lowry,PG,MIA,65,32.1,1.52,$7,$11.2,$7.4
85,Nicolas Batum,"SF,PF",LAC,71,28.1,1.35,$7,$1.5,$0.0
86,Ben Simmons,PG,PHI,59,32.5,1.27,$6,$14.7,$18.6
87,Grayson Allen,"SG,SF",MIL,68,28.4,1.25,$6,$,$0.0
88,Devin Vassell,SG,SAS,75,28.1,1.18,$6,$,$0.0
89,Michael Porter Jr.,"SF,PF",DEN,44,30.0,1.13,$5,$29.1,$24.7
90,Dennis Schroder,PG,BOS,74,30.4,1.08,$5,$1.8,$1.4
91,Jerami Grant,"SF,PF",DET,74,32.4,1.07,$5,$11.1,$6.8
92,Mitchell Robinson,C,NYK,69,27.1,1.03,$5,$5.8,$1.6
93,Jordan Poole,"PG,SG",GSW,74,28.6,1.01,$5,$3.7,$1.4
94,Brook Lopez,C,MIL,55,26.1,1.00,$5,$4.5,$1.4
95,Matisse Thybulle,"SG,SF",PHI,62,24.6,0.92,$5,$1.4,$0.2
96,Marcus Smart,"PG,SG",BOS,70,34.0,0.90,$5,$6.1,$1.8
97,Buddy Hield,"SG,SF",SAC,76,30.3,0.82,$5,$7.3,$5.9
98,Wendell Carter Jr.,"PF,C",ORL,67,26.8,0.80,$5,$3.9,$2.0
99,Spencer Dinwiddie,"PG,SG",WAS,69,30.7,0.78,$5,$5.3,$5.5
100,Brandon Ingram,"SF,PF",NOP,70,34.5,0.78,$5,$24.6,$17.2
101,Jonathan Isaac,"SF,PF",ORL,56,27.1,0.70,$5,$3.0,$3.8
102,Reggie Jackson,"PG,SG",LAC,75,30.2,0.67,$5,$3.2,$1.3
103,Nassir Little,SF,POR,68,24.2,0.52,$5,$,$0.0
104,Bogdan Bogdanovic,"SF,PF",ATL,68,30.6,0.52,$5,$6.3,$2.6
105,Klay Thompson,"SG,SF",GSW,45,26.8,0.49,$5,$4.6,$3.4
106,Isaiah Stewart,"PF,C",DET,75,27.1,0.37,$5,$10.3,$3.6
107,Royce O'Neale,"SF,PF",UTA,75,31.4,0.33,$5,$2.6,$0.0
108,Carmelo Anthony,"SF,PF",LAL,72,28.5,0.32,$5,$2.0,$0.8
109,Nerlens Noel,"PF,C",NYK,70,24.8,0.32,$5,$2.2,$0.2
110,Josh Giddey,"PG,SG",OKL,70,31.8,0.22,$5,$2.3,$0.9
111,Kelly Olynyk,"PF,C",DET,48,27.2,0.16,$5,$3.7,$1.0
112,Patrick Beverley,"PG,SG",MIN,67,24.1,0.10,$5,$,$0.0
113,Kyle Kuzma,"SF,PF",WAS,73,32.1,0.09,$5,$1.6,$1.6
114,Devonte' Graham,"PG,SG",NOP,70,31.5,0.05,$5,$3.0,$2.0
115,Evan Fournier,"SG,SF",NYK,70,31.0,0.00,$5,$2.5,$1.3
116,Keldon Johnson,"SF,PF",SAS,74,31.2,-0.07,$5,$3.3,$2.2
117,Christian Wood,"PF,C",HOU,70,32.5,-0.07,$5,$23.9,$19.4
118,Robert Covington,"PF,C",POR,74,28.5,-0.10,$5,$7.1,$2.0
119,Daniel Gafford,C,WAS,69,20.2,-0.16,$5,$3.7,$0.5
120,Thomas Bryant,C,WAS,38,25.2,-0.33,$5,$1.3,$0.5
121,Scottie Barnes,"SF,PF",TOR,74,33.9,-0.37,$5,$2.7,$1.6
122,Desmond Bane,"PG,SG",MEM,76,28.9,-0.38,$5,$1.4,$0.0
123,Pat Connaughton,"SG,SF",MIL,71,28.5,-0.40,$5,$,$0.0
124,Tim Hardaway Jr.,"SG,SF",DAL,77,30.2,-0.50,$5,$1.8,$1.4
125,Gary Trent Jr.,"SG,SF",TOR,70,32.1,-0.52,$5,$1.7,$0.2
126,LaMarcus Aldridge,"PF,C",BRO,55,20.6,-0.54,$5,$1.2,$0.2
127,Dillon Brooks,"SG,SF",MEM,67,29.6,-0.54,$5,$1.3,$0.3
128,Lauri Markkanen,"PF,C",CLE,68,28.4,-0.55,$5,$3.7,$1.2
129,Nickeil Alexander-Walker,"SG,SF",NOP,71,29.8,-0.60,$5,$3.2,$2.4
130,Aaron Gordon,"SF,PF",DEN,72,31.7,-0.60,$5,$2.0,$0.7
131,Seth Curry,"PG,SG",PHI,70,31.2,-0.67,$5,$1.4,$0.6
132,Bojan Bogdanovic,"SF,PF",UTA,78,30.7,-0.68,$5,$2.4,$1.3
133,Victor Oladipo,"SG,SF",MIA,35,26.5,-0.84,$5,$1.2,$0.2
134,T.J. McConnell,"PG,SG",IND,76,24.7,-0.85,$5,$1.8,$0.8
135,T.J. Warren,"SF,PF",IND,40,29.2,-0.87,$5,$3.7,$0.7
136,RJ Barrett,"SG,SF",NYK,75,34.4,-0.89,$5,$5.7,$4.5
137,Kemba Walker,PG,NYK,62,26.1,-0.89,$5,$5.7,$5.0
138,Saddiq Bey,"SG,SF",DET,76,33.5,-0.91,$5,$3.6,$1.1
139,Mason Plumlee,"PF,C",CHA,68,28.1,-0.92,$5,$1.6,$0.5
140,Joe Ingles,"SG,SF",UTA,71,25.1,-0.92,$5,$1.6,$1.4
141,Danny Green,"SG,SF",PHI,74,25.2,-0.95,$5,$1.0,$0.1
142,De'Anthony Melton,"PG,SG",MEM,70,24.8,-0.98,$5,$1.3,$0.1
143,Shake Milton,"PG,SG",PHI,71,26.6,-1.00,$5,$,$0.0
144,Alperen Sengun,C,HOU,70,21.2,-1.01,$5,$2.0,$0.3
145,Andrew Wiggins,"SG,SF",GSW,74,30.1,-1.02,$5,$5.1,$4.8
146,Jalen Suggs,"PG,SG",ORL,73,29.2,-1.04,$5,$3.1,$4.7
147,Kevin Porter Jr.,"SG,SF",HOU,70,31.1,-1.06,$5,$7.8,$3.4
148,Derrick Rose,"PG,SG",NYK,65,22.2,-1.06,$5,$1.6,$0.7
149,Franz Wagner,"SG,SF",ORL,70,30.4,-1.07,$5,$,$0.0
150,Kelly Oubre Jr.,"SG,SF",CHA,74,28.2,-1.12,$5,$1.5,$0.3
151,Jae'Sean Tate,"SF,PF",HOU,76,28.1,-1.12,$5,$1.3,$
152,Luguentz Dort,"SG,SF",OKL,70,29.1,-1.13,$5,$1.3,$0.3
153,Dwight Powell,"PF,C",DAL,68,24.2,-1.13,$5,$,$0.0
154,Markelle Fultz,"PG,SG",ORL,46,27.3,-1.15,$5,$1.0,$0.1
155,Dorian Finney-Smith,"SF,PF",DAL,75,28.1,-1.24,$1,$1.1,$0.0
156,PJ Washington,"PF,C",CHA,70,22.5,-1.27,$1,$5.1,$2.2
157,Jordan Clarkson,"PG,SG",UTA,74,26.7,-1.28,$1,$3.7,$1.9
158,Jalen Brunson,"PG,SG",DAL,72,28.3,-1.29,$1,$1.1,$0.0
159,Alex Caruso,"PG,SG",CHI,70,26.7,-1.33,$1,$2.0,$0.5
160,Josh Hart,"SG,SF",NOP,67,28.7,-1.37,$1,$1.2,$0.0
