FIRST,LAST,COST
Stephen,Curry,$64.4
Nikola,Jokic,$70.8
James,Harden,$62.7
Kevin,Durant,$61.1
Jimmy,Butler,$38.8
Karl-Anthony,Towns,$57.1
Paul,George,$47.3
DeMar,DeRozan,$14.7
Anthony,Davis,$49.3
Giannis,Antetokounmpo,$66.1
Trae,Young,$47.1
LaMelo,Ball,$32.7
Chris,Paul,$26.9
Julius,Randle,$32.1
Damian,Lillard,$58.7
Tobias,Harris,$22.0
Jayson,Tatum,$52.0
John,Collins,$21.3
Rudy,Gobert,$35.1
Jonas,Valanciunas,$17.3
Myles,Turner,$23.0
Richaun,Holmes,$20.5
Bam,Adebayo,$36.7
Dejounte,Murray,$17.7
Miles,Bridges,$3.6
Bradley,Beal,$44.8
Jakob,Poeltl,$7.5
Mikal,Bridges,$13.3
Deandre,Ayton,$29.4
Zach,LaVine,$36.0
Luka,Doncic,$68.1
Kristaps,Porzingis,$21.4
Fred,VanVleet,$33.2
LeBron,James,$36.5
Devin,Booker,$31.3
Jarrett,Allen,$12.3
Jaren,Jackson,$25
Donovan,Mitchell,$32.7
CJ,McCollum,$16.8
Jaylen,Brown,$24.6
Anthony,Edwards,$19.5
Khris,Middleton,$26.1
Domantas,Sabonis,$39.3
Joel,Embiid,$54.3
Tyrese,Maxey,$1.6
Jrue,Holiday,$22.5
Tyrese,Haliburton,$14.9
Harrison,Barnes,$4.7
Ja,Morant,$21.9
Mike,Conley,$5.1
Will,Barton,$1.0
Al,Horford,$2.5
Nikola,Vucevic,$41.5
Malcolm,Brogdon,$13.8
Robert,Williams III,$13.3
Bobby,Portis,$3.1
Cole,Anthony,$1.0
Shai,Gilgeous-Alexander,$30.5
OG,Anunoby,$19.6
Russell,Westbrook,$34.5
Draymond,Green,$15.2
De'Aaron,Fox,$24.1
Clint,Capela,$22.8
Gordon,Hayward,$10.2
Jusuf,Nurkic,$14.8
Lonzo,Ball,$17.8
Cade,Cunningham,$9.2
Terry,Rozier,$9.9
Darius,Garland,$9.4
Mo,Bamba,$2.5
Norman,Powell,$4.7
D'Angelo,Russell,$8.7
Montrezl,Harrell,$1.8
Devin,Vassell,$
Derrick,White,$9.3
Pascal,Siakam,$11.9
Evan,Mobley,$5.3
Dennis,Schroder,$1.8
Ricky,Rubio,$1.5
Tyler,Herro,$2.6
Jordan,Poole,$3.7
Caris,LeVert,$6.6
Buddy,Hield,$7.3
Jerami,Grant,$11.1
Nicolas,Batum,$1.5
Isaiah,Stewart,$10.3
Reggie,Jackson,$3.2
Royce,O'Neale,$2.6
Mitchell,Robinson,$5.8
Grayson,Allen,$
Carmelo,Anthony,$2.0
Spencer,Dinwiddie,$5.3
Marcus,Smart,$6.1
Kyle,Lowry,$11.2
Brandon,Ingram,$24.6
Nerlens,Noel,$2.2
Bojan,Bogdanovic,$2.4
Desmond,Bane,$1.4
Keldon,Johnson,$3.3
Tim,Hardaway,$5
Robert,Covington,$7.1
Nassir,Little,$
Bogdan,Bogdanovic,$6.3
Kyle,Kuzma,$1.6
Wendell,Carter,$5
Scottie,Barnes,$2.7
T.J.,McConnell,$1.8
Evan,Fournier,$2.5
Daniel,Gafford,$3.7
Josh,Giddey,$2.3
Patrick,Beverley,$
Pat,Connaughton,$
Devonte',Graham,$3.0
Jae'Sean,Tate,$1.3
RJ,Barrett,$5.7
Matisse,Thybulle,$1.4
Saddiq,Bey,$3.6
Danny,Green,$1.0
Duncan,Robinson,$2.5
Aaron,Gordon,$2.0
Ivica,Zubac,$2.4
Seth,Curry,$1.4
Dorian,Finney-Smith,$1.1
P.J.,Tucker,$1.1
Andrew,Wiggins,$5.1
Christian,Wood,$23.9
Joe,Ingles,$1.6
Gary,Trent,$5
Terance,Mann,$2.0
Nickeil,Alexander-Walker,$3.2
Jalen,Suggs,$3.1
Lauri,Markkanen,$3.7
Shake,Milton,$
Kelly,Oubre,$5
Jordan,Clarkson,$3.7
Ben,Simmons,$14.7
Kyle,Anderson,$2.1
Jalen,Brunson,$1.1
Alperen,Sengun,$2.0
Dillon,Brooks,$1.3
Joe,Harris,$1.6
De'Anthony,Melton,$1.3
Franz,Wagner,$
Dwight,Powell,$
Luguentz,Dort,$1.3
Obi,Toppin,$1.0
PJ,Washington,$5.1
Brook,Lopez,$4.5
Mason,Plumlee,$1.6
Kevin,Porter,$5
Eric,Bledsoe,$1.3
Justin,Holiday,$1.0
Alex,Caruso,$2.0
Jonathan,Isaac,$3.0
Otto,Porter,$5
Derrick,Rose,$1.6
Andre,Drummond,$3.6
Doug,McDermott,$1.0
Kevin,Huerter,$1.7
Josh,Hart,$1.2
Jalen,Green,$5.8
Cam,Reddish,$1.1
Monte,Morris,$1.4
Furkan,Korkmaz,$
Bruce,Brown,$
Lonnie,Walker,$1
Jaden,McDaniels,$1.3
Maxi,Kleber,$1.0
Kemba,Walker,$5.7
Rui,Hachimura,$1.1
Cedi,Osman,$
Cameron,Johnson,$1.3
Juan,Toscano-Anderson,$1.0
Zion,Williamson,$30.4
Kendrick,Nunn,$1.0
Chris,Duarte,$
Kentavious,Caldwell-Pope,$
LaMarcus,Aldridge,$1.2
Khem,Birch,$1.1
Chris,Boucher,$9.5
Naz,Reid,$1.5
Talen,Horton-Tucker,$1.0
Isaac,Okoro,$1.1
Eric,Gordon,$1.4
Hassan,Whiteside,$1.0
Josh,Okogie,$
Blake,Griffin,$1.2
Luke,Kennard,$
Jeff,Green,$
Jae,Crowder,$1.4
Reggie,Bullock,$
Patty,Mills,$1.2
Marcus,Morris,$1
Tony,Bradley,$
Goran,Dragic,$1.3
Trey,Murphy,$1
Steven,Adams,$2.3
Daniel,Theis,$1.1
Raul,Neto,$
Danilo,Gallinari,$1.1
